id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
6260941,22234571,Cathleen,2014-10-07,"Austin, Texas, United States",within an hour,100%,90%,f,Rosedale,2.0,"['email', 'phone', 'google', 'reviews']",t,f
4202378,12868923,Roanna,2014-03-06,"Austin, Texas, United States",within an hour,100%,100%,t,Allendale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
2406050,941206,Andrew,2011-08-08,"Austin, Texas, United States",,,,f,Rosedale,1.0,"['email', 'phone', 'reviews']",t,f
5174831,20631833,Aurora,2014-08-28,"Austin, Texas, United States",,,,f,Rosedale,1.0,"['email', 'phone', 'google', 'kba']",t,t
6796522,35575004,Heidi,2015-06-11,US,within a day,67%,,f,Rosedale,1.0,"['email', 'phone']",t,f
2454577,10467446,Tim,2013-12-06,"Austin, Texas, United States",within an hour,100%,,f,Rosedale,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t
461404,1021729,Nita,2011-08-25,"Austin, Texas, United States",within a day,100%,55%,f,Brentwood,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
5506252,2097361,Randy,2012-04-09,"Austin, Texas, United States",,,,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
951537,5160284,Nikki,2013-02-20,"Austin, Texas, United States",within a day,50%,94%,f,Brentwood,2.0,"['email', 'phone', 'facebook', 'reviews']",t,f
8652103,28585339,Eric,2015-03-01,"Austin, Texas, United States",within an hour,100%,100%,f,Brentwood,1.0,"['email', 'phone', 'linkedin', 'kba']",t,t
330705,1687198,M. Ann,2012-02-02,"Austin, Texas, United States",,,,f,Brentwood,1.0,"['email', 'phone', 'reviews']",t,f
329129,1680692,Jennifer,2012-01-31,"Austin, Texas, United States",,,,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f
3689085,18775364,Just,2014-07-24,"Austin, Texas, United States",within an hour,100%,100%,t,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f
2077867,56895,Daniel,2009-11-23,"Austin, Texas, United States",within an hour,100%,100%,t,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
5309636,21597290,Sofia,2014-09-21,"Austin, Texas, United States",within an hour,100%,100%,f,Brentwood,4.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t
5447456,28256866,Jordan,2015-02-23,"Austin, Texas, United States",within an hour,100%,67%,f,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t
4156939,21597290,Sofia,2014-09-21,"Austin, Texas, United States",within an hour,100%,100%,f,Brentwood,4.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t
3041605,15438805,EmilyAnne,2014-05-12,"Austin, Texas, United States",within a day,100%,,f,Brentwood,1.0,"['email', 'phone', 'facebook', 'kba']",t,t
7128645,33666377,Caleb,2015-05-18,"Austin, Texas, United States",,,,f,Brentwood,3.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",t,t
2041310,475506,Dan,2011-03-31,"Austin, Texas, United States",within a few hours,100%,92%,t,University of Texas,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
4211596,21856018,Alison,2014-09-27,US,within an hour,100%,80%,f,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t
5551188,28774961,Madeleine,2015-03-04,"Austin, Texas, United States",,,,f,Brentwood,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t
7287162,38159186,Robbin,2015-07-11,"Austin, Texas, United States",within an hour,90%,100%,t,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",t,t
8001134,27756476,Scott,2015-02-14,"Austin, Texas, United States",within an hour,100%,63%,f,,1.0,"['email', 'phone', 'reviews', 'kba']",t,t
593102,2852664,Lori,2012-07-06,"Austin, Texas, United States",,,,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",t,f
8032556,42412174,Kurt,2015-08-24,"Austin, Texas, United States",within an hour,100%,100%,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
4264342,9541452,Laura,2013-10-20,"Austin, Texas, United States",within a few hours,100%,100%,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
