id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
8603787,785.0,4500.0,,500.0,200.0,1,0.0,3,14,True,0,0,0,14,2015-11-07
2385103,439.0,2700.0,5000.0,500.0,150.0,1,0.0,5,90,True,30,60,90,365,2015-11-07
2585785,298.0,,,500.0,25.0,1,0.0,2,365,True,30,60,90,365,2015-11-07
4089452,200.0,,,,,1,0.0,1,1125,True,0,12,42,317,2015-11-07
3686862,299.0,,,,130.0,1,0.0,2,185,True,22,44,72,335,2015-11-07
8482662,200.0,1000.0,2400.0,500.0,75.0,1,0.0,7,90,True,0,2,32,277,2015-11-07
4064803,345.0,1500.0,4000.0,1000.0,150.0,1,0.0,1,1125,True,30,60,90,365,2015-11-07
2354263,1200.0,,,1200.0,100.0,5,75.0,3,1125,True,0,5,35,310,2015-11-07
5615688,185.0,,,500.0,75.0,2,0.0,1,1125,True,25,55,85,360,2015-11-07
8554169,85.0,,,,,2,25.0,2,1125,True,15,28,44,60,2015-11-07
1664692,199.0,,,250.0,50.0,2,0.0,2,5,True,26,56,86,356,2015-11-07
5270815,999.0,,,999.0,250.0,1,0.0,1,1125,True,0,0,0,249,2015-11-07
8356445,350.0,,,300.0,129.0,8,50.0,2,1125,True,21,48,78,347,2015-11-07
2049254,109.0,650.0,2400.0,,,1,0.0,2,1125,True,23,53,83,274,2015-11-07
8722518,30.0,150.0,500.0,,,1,10.0,1,1125,True,0,22,34,41,2015-11-07
196432,75.0,,1200.0,100.0,20.0,2,50.0,2,15,True,0,0,0,220,2015-11-07
364025,190.0,1775.0,,,50.0,1,0.0,3,12,True,1,1,1,204,2015-11-07
4065037,400.0,1500.0,4000.0,1000.0,150.0,1,0.0,1,1125,True,30,60,90,365,2015-11-07
770721,250.0,1400.0,4500.0,200.0,50.0,2,0.0,1,7,True,0,3,33,308,2015-11-07
8306685,10000.0,,,,,1,0.0,3,3,True,0,0,0,33,2015-11-07
2918176,450.0,,,,165.0,1,0.0,2,365,True,18,39,69,329,2015-11-07
8327772,104.0,,2500.0,250.0,75.0,1,25.0,1,1125,True,17,42,72,347,2015-11-07
2524955,200.0,,,,25.0,1,0.0,1,1125,True,16,39,65,332,2015-11-07
4996627,179.0,,,250.0,75.0,1,0.0,2,1125,True,18,32,62,337,2015-11-07
8128334,1000.0,,,,,1,0.0,2,1125,True,18,35,65,340,2015-11-07
7997122,308.0,,,1000.0,75.0,1,0.0,3,1125,True,6,6,6,234,2015-11-07
347342,1500.0,,,500.0,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
4815071,275.0,,,500.0,100.0,1,0.0,3,1125,True,0,5,35,310,2015-11-07
8711707,250.0,,,200.0,100.0,4,25.0,2,1125,True,29,59,89,361,2015-11-07
365191,150.0,,,100.0,60.0,1,0.0,2,7,True,26,54,84,359,2015-11-07
5047683,500.0,,,,,1,0.0,1,1125,True,0,0,0,272,2015-11-07
1125837,600.0,3000.0,6000.0,800.0,175.0,0,0.0,4,150,True,0,0,0,236,2015-11-07
2855712,165.0,,3500.0,300.0,125.0,1,0.0,2,1125,True,29,59,89,364,2015-11-07
319716,150.0,2000.0,,,75.0,2,50.0,6,15,True,30,60,90,359,2015-11-07
5272994,548.0,3261.0,11508.0,350.0,250.0,1,0.0,2,1125,True,20,43,73,188,2015-11-07
700855,295.0,,,1000.0,90.0,1,0.0,2,30,True,29,59,84,309,2015-11-07
5557742,1200.0,,,1600.0,200.0,1,25.0,1,1125,True,0,0,0,221,2015-11-07
2423840,425.0,,,250.0,80.0,1,0.0,1,1125,True,24,54,84,359,2015-11-07
622062,140.0,800.0,1400.0,100.0,40.0,2,25.0,1,30,True,29,59,89,364,2015-11-07
2989690,129.0,,,,25.0,0,0.0,1,1125,True,22,50,80,355,2015-11-07
5381350,1250.0,,,,,1,0.0,1,1125,True,0,0,0,237,2015-11-07
2409435,500.0,3000.0,10000.0,300.0,100.0,1,0.0,3,14,True,21,46,76,345,2015-11-07
8132344,245.0,975.0,3200.0,500.0,80.0,1,0.0,3,120,True,10,22,34,78,2015-11-07
3053308,48.0,,,,10.0,1,10.0,1,1125,True,10,35,53,53,2015-11-07
1803353,950.0,,,1000.0,80.0,4,100.0,1,1125,True,30,60,90,365,2015-11-07
5839381,125.0,,,,,1,0.0,2,1125,True,26,56,86,309,2015-11-07
3441118,450.0,2700.0,5500.0,1000.0,200.0,8,0.0,5,1125,True,0,0,0,249,2015-11-07
