id,street,neighbourhood,city,state,zipcode,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet
5374823,"Burton Drive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.23329389583959,-97.73113082579506,True,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",
955612,"Sunridge Drive, Austin, TX 78741, United States",Parker Lane,Austin,TX,78741.0,US,United States,30.21907279756801,-97.72686958842182,True,House,Entire home/apt,10,2.5,3.0,6.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer}",1600.0
6198536,"South Lakeshore Boulevard, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.243989313509697,-97.72886275600507,True,Condominium,Entire home/apt,7,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials}",
8284053,"East Oltorf Street, Austin, TX 78741, United States",Pleasant Valley,Austin,TX,78741.0,US,United States,30.225534064098664,-97.72397705992516,True,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector""}",
8461184,"South Lakeshore Boulevard, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.245953258652516,-97.72912332686334,True,Loft,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Breakfast,""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",
3860937,"Elmont Drive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.240522947983166,-97.72620853922676,True,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",
5327017,"Summer Drive, Austin, TX 78741, United States",Pleasant Valley,Austin,TX,78741.0,US,United States,30.23172921439499,-97.71063074347437,True,House,Entire home/apt,7,2.0,3.0,4.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",
5630531,"East Riverside Drive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.2474712956356,-97.73136616350791,True,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Fire Extinguisher"",Essentials,Shampoo}",
8743900,"Burton Drive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.231729066870948,-97.73234384726344,True,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",
8613034,"Burleson Court, Austin, TX 78741, United States",,Austin,TX,78741.0,US,United States,30.22818292903183,-97.73466208904951,False,House,Entire home/apt,6,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Smoking Allowed"",""Pets Allowed"",Breakfast,""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",
5205313,"Lily Terrace, Austin, TX 78741, United States",Montopolis,Austin,TX,78741.0,US,United States,30.234289103011967,-97.7014464971266,True,House,Entire home/apt,5,1.5,3.0,3.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",
6876610,"South Lakeshore Boulevard, Austin, TX 78741, United States",,Austin,TX,78741.0,US,United States,30.244142902281464,-97.72348757471272,False,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",
4496516,"Tramson Dr, Austin, TX 78741, United States",,Austin,TX,78741.0,US,United States,30.225503753550658,-97.74018829579393,False,House,Private room,2,1.0,1.0,1.0,Airbed,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",
5402410,"East Riverside Drive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.2487243109404,-97.73471573811436,True,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Doorman,Gym,""Pets live on this property"",Dog(s),""Elevator in Building"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",
520055,"E Riverside Dr, Austin, TX 78741, United States",Riverside Heights,Austin,TX,78741.0,US,United States,30.247732865003442,-97.73277461281137,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Gym,Heating}",
5569871,"East Riverside Drive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.247377659870647,-97.73226421574525,True,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector""}",
5337129,"South Pleasant Valley Road, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.232672030925215,-97.72588468345316,True,Apartment,Private room,10,2.0,1.0,4.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",
5650003,"East Riverside Drive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.2344848987927,-97.72672730203443,True,Apartment,Entire home/apt,8,2.0,2.0,3.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer}",
5629969,"Timber Ridge Road, Austin, TX 78741, United States",Parker Lane,Austin,TX,78741.0,US,United States,30.22493568095653,-97.74176870525736,True,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Shampoo}",
2453663,"Anise Drive, Austin, TX 78741, United States",Montopolis,Austin,TX,78741.0,US,United States,30.224636846241705,-97.69413645468664,True,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",
348907,"Lupine Ln, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.244911771997447,-97.7329813261063,True,House,Entire home/apt,6,1.0,3.0,4.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Washer / Dryer"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer}",1250.0
720315,"South Lakeshore Boulevard, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.246292038956188,-97.72885882953248,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",
8582008,"Royal Crest Driveive, Austin, TX 78741, United States",East Riverside,Austin,TX,78741.0,US,United States,30.24022831648734,-97.72937704245487,True,Apartment,Entire home/apt,1,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",
5296975,"Wickersham Lane, Austin, TX 78741, United States",Parker Lane,Austin,TX,78741.0,US,United States,30.223909708135057,-97.72555478342709,True,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",
