id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
5309636,$97.00,$577.00,,,$35.00,2,$25.00,2,1125,t,27,57,87,360,2015-11-07
5447456,$118.00,,,,$20.00,4,$10.00,3,1125,t,28,58,88,205,2015-11-07
4156939,$163.00,,,,$35.00,2,$0.00,2,30,t,23,53,83,358,2015-11-07
3041605,$400.00,,,,,1,$0.00,3,7,t,30,60,90,365,2015-11-07
7128645,$125.00,,,,,1,$0.00,1,1125,t,0,0,0,102,2015-11-07
2041310,$169.00,,"$2,795.00",$350.00,$49.00,4,$49.00,2,1125,t,18,39,69,341,2015-11-07
4211596,$650.00,"$2,750.00","$15,000.00","$1,000.00",$150.00,1,$0.00,1,1125,t,29,59,89,360,2015-11-07
5551188,$300.00,,,,,1,$0.00,1,1125,t,0,0,0,221,2015-11-07
7287162,$75.00,,,,$40.00,2,$25.00,2,31,t,5,19,47,124,2015-11-07
8001134,$60.00,,,$125.00,$15.00,2,$20.00,1,5,t,20,44,74,349,2015-11-07
593102,$500.00,,,$500.00,$150.00,8,$50.00,2,7,t,30,60,90,365,2015-11-07
8032556,$157.00,,,,$125.00,1,$0.00,2,1125,t,11,11,11,137,2015-11-07
4264342,$180.00,"$1,500.00","$3,500.00",,$60.00,2,$50.00,3,1125,t,19,44,74,335,2015-11-07
8098372,$172.00,"$1,150.00",,$200.00,$115.00,4,$11.00,1,1125,t,29,59,89,364,2015-11-07
3281553,$399.00,,,$400.00,$130.00,6,$20.00,1,1125,t,4,30,45,286,2015-11-07
1643831,$63.00,$400.00,"$1,000.00",,,2,$15.00,3,1125,t,0,17,22,22,2015-11-07
8612362,$75.00,,,$200.00,$40.00,1,$0.00,2,1125,t,15,45,75,75,2015-11-07
5040775,$60.00,,"$1,200.00",,$10.00,0,$0.00,2,1125,t,0,0,0,1,2015-11-07
5237709,$95.00,,,,,1,$0.00,3,1125,t,0,0,0,241,2015-11-07
5205299,$60.00,$350.00,,,$25.00,1,$0.00,1,1125,t,8,38,68,343,2015-11-07
2036294,$185.00,"$1,150.00","$3,500.00",$300.00,,1,$0.00,3,1125,t,13,28,28,247,2015-11-07
7728618,$90.00,,,,,1,$0.00,1,1125,t,0,0,0,68,2015-11-07
5673558,$49.00,$295.00,,,$15.00,0,$0.00,1,1125,t,0,0,0,273,2015-11-07
4208511,$600.00,,,$250.00,$85.00,1,$0.00,2,5,t,0,0,0,17,2015-11-07
3798024,$100.00,$600.00,"$1,800.00",$300.00,$80.00,2,$40.00,2,1125,t,0,18,48,323,2015-11-07
1556027,$172.00,,,,$115.00,1,$0.00,2,180,t,0,5,35,310,2015-11-07
5340370,$150.00,"$1,000.00",,$100.00,$50.00,1,$50.00,3,1125,t,0,0,0,241,2015-11-07
8731536,$200.00,,,,,1,$0.00,1,1125,t,0,0,0,7,2015-11-07
8888471,$190.00,$775.00,"$2,800.00","$1,000.00",$150.00,2,$8.00,7,150,t,0,25,55,145,2015-11-07
4235416,$85.00,$550.00,,,$30.00,1,$0.00,1,1125,t,18,38,68,158,2015-11-07
5415298,$175.00,,,,,1,$0.00,1,1125,t,0,0,0,233,2015-11-07
867806,$89.00,$650.00,"$2,250.00",$300.00,$100.00,1,$0.00,2,1125,t,0,0,19,263,2015-11-07
3810677,$170.00,,,,$120.00,1,$0.00,2,185,t,0,0,3,278,2015-11-07
5660770,$370.00,,,,,1,$0.00,2,6,t,0,0,0,211,2015-11-07
767425,$114.00,,,,$120.00,4,$0.00,3,365,t,25,53,83,358,2015-11-07
4151271,$143.00,$920.00,"$2,150.00",$250.00,$85.00,1,$0.00,2,90,t,18,18,18,236,2015-11-07
5458052,$750.00,,,$500.00,$99.00,1,$0.00,1,1125,t,0,0,0,229,2015-11-07
5457288,$115.00,,,$500.00,$30.00,1,$15.00,2,1125,t,24,54,84,359,2015-11-07
7980816,$90.00,$600.00,"$1,300.00",$200.00,$50.00,1,$0.00,2,1125,t,19,49,79,354,2015-11-07
1068507,$180.00,"$1,200.00","$3,800.00",$400.00,$80.00,1,$0.00,1,1125,t,0,8,8,162,2015-11-07
3742420,$180.00,,"$2,760.00",$400.00,$100.00,4,$0.00,2,1125,t,4,23,53,328,2015-11-07
1956451,$499.00,,,,,1,$0.00,4,1125,t,30,60,90,365,2015-11-07
4219174,$400.00,,,,,1,$0.00,1,2,t,30,60,90,365,2015-11-07
1242559,$150.00,"$1,050.00","$2,500.00",$500.00,$60.00,4,$50.00,2,120,t,29,58,88,363,2015-11-07
4291414,$200.00,"$1,000.00","$2,850.00",$400.00,$90.00,5,$25.00,2,1125,t,0,0,0,189,2015-11-07
6288166,$100.00,,,,,1,$0.00,1,1125,t,0,0,0,0,2015-11-07
1011620,$225.00,"$1,500.00","$4,000.00","$1,000.00",$150.00,1,$0.00,2,365,t,8,38,68,343,2015-11-07
1535250,$85.00,$525.00,"$1,659.00",$500.00,$50.00,1,$0.00,2,1125,t,10,23,29,296,2015-11-07
5992071,$175.00,$995.00,"$2,499.00",$150.00,$80.00,4,$50.00,2,1125,t,0,13,43,318,2015-11-07
8186030,$95.00,,,,,1,$0.00,1,1125,t,15,45,75,350,2015-11-07
5565604,$106.00,,"$3,200.00",,$85.00,1,$0.00,30,1125,t,11,41,71,346,2015-11-07
683017,$800.00,,,$500.00,$200.00,1,$0.00,3,14,t,30,60,90,365,2015-11-07
8186176,$135.00,,,$250.00,,3,$20.00,2,1125,t,29,44,74,349,2015-11-07
2250253,$399.00,,,$500.00,$125.00,1,$0.00,4,8,t,30,60,90,365,2015-11-07
971370,$55.00,$400.00,"$1,500.00",,$25.00,1,$15.00,2,28,t,0,20,41,310,2015-11-07
5459498,$250.00,,,,,1,$0.00,1,1125,t,0,0,0,0,2015-11-07
2474218,$75.00,,,$200.00,$10.00,1,$75.00,1,1125,t,30,60,90,365,2015-11-07
4309531,$185.00,"$1,150.00","$3,000.00",,$60.00,4,$0.00,2,1125,t,6,36,66,341,2015-11-07
2722858,$199.00,,,$500.00,$85.00,1,$0.00,1,1125,t,6,20,24,243,2015-11-07
1850056,$350.00,"$1,650.00","$2,800.00",$500.00,$100.00,1,$50.00,5,1125,t,0,9,39,314,2015-11-07
8301191,$85.00,,,,$25.00,1,$0.00,1,1125,t,0,0,0,33,2015-11-07
6463905,$97.00,,,,,1,$0.00,1,1125,t,0,0,0,146,2015-11-07
5576522,$61.00,$350.00,"$1,100.00",,,2,$0.00,2,8,t,0,0,0,219,2015-11-07
627784,$120.00,$700.00,"$2,500.00",$500.00,$80.00,2,$0.00,14,125,t,0,0,0,26,2015-11-07
528160,$700.00,,,,,1,$0.00,2,6,t,30,60,90,365,2015-11-07
362460,$625.00,"$4,000.00","$10,000.00",,$100.00,1,$0.00,4,14,t,30,60,90,365,2015-11-07
5309717,$700.00,,,,$225.00,8,$35.00,2,1125,t,17,41,71,234,2015-11-07
5641626,$250.00,,,,$15.00,0,$0.00,3,1125,t,0,0,0,214,2015-11-07
312499,$160.00,"$1,000.00","$2,100.00",$500.00,$50.00,1,$50.00,6,105,t,0,5,35,310,2015-11-07
5543526,$40.00,,,,,1,$25.00,1,1125,t,29,59,89,89,2015-11-07
5455707,$33.00,,,,$7.00,1,$6.00,1,1125,t,14,42,69,124,2015-11-07
5768100,$59.00,,,,$10.00,2,$5.00,1,1125,t,5,22,22,22,2015-11-07
8627429,$65.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
5660966,$22.00,,,,$5.00,1,$5.00,1,1125,t,12,29,29,29,2015-11-07
5499091,$27.00,,,,$6.00,1,$5.00,1,1125,t,8,26,41,41,2015-11-07
8273490,$350.00,,,,$75.00,1,$0.00,2,1125,t,29,59,89,364,2015-11-07
5685241,$80.00,$500.00,"$1,200.00",,,1,$0.00,1,1125,t,26,56,86,361,2015-11-07
6628509,$80.00,,,,$15.00,3,$5.00,1,1125,t,5,22,49,49,2015-11-07
5525252,$450.00,,,,$100.00,1,$0.00,1,1125,t,0,0,0,223,2015-11-07
