id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
329129,1680692,Jennifer,2012-01-31,"Austin, Texas, United States",,,,1.0,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews']",0.0,1.0
3689085,18775364,Just,2014-07-24,"Austin, Texas, United States",within an hour,1.0,1.0,0.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews']",0.0,1.0
2077867,56895,Daniel,2009-11-23,"Austin, Texas, United States",within an hour,1.0,1.0,0.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
5309636,21597290,Sofia,2014-09-21,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,Brentwood,4.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",0.0,0.0
5447456,28256866,Jordan,2015-02-23,"Austin, Texas, United States",within an hour,1.0,0.67,1.0,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",0.0,0.0
3041605,15438805,EmilyAnne,2014-05-12,"Austin, Texas, United States",within a day,1.0,,1.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'kba']",0.0,0.0
7128645,33666377,Caleb,2015-05-18,"Austin, Texas, United States",,,,1.0,Brentwood,3.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",0.0,0.0
2041310,475506,Dan,2011-03-31,"Austin, Texas, United States",within a few hours,1.0,0.92,0.0,University of Texas,2.0,"['email', 'phone', 'reviews', 'kba']",0.0,0.0
4211596,21856018,Alison,2014-09-27,US,within an hour,1.0,0.8,1.0,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",0.0,0.0
5551188,28774961,Madeleine,2015-03-04,"Austin, Texas, United States",,,,1.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",0.0,0.0
7287162,38159186,Robbin,2015-07-11,"Austin, Texas, United States",within an hour,0.9,1.0,0.0,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",0.0,0.0
8001134,27756476,Scott,2015-02-14,"Austin, Texas, United States",within an hour,1.0,0.63,1.0,,1.0,"['email', 'phone', 'reviews', 'kba']",0.0,0.0
593102,2852664,Lori,2012-07-06,"Austin, Texas, United States",,,,1.0,Rosedale,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",0.0,1.0
8032556,42412174,Kurt,2015-08-24,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0.0,0.0
4264342,9541452,Laura,2013-10-20,"Austin, Texas, United States",within a few hours,1.0,1.0,1.0,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
8098372,15782486,Top Trip Rentals,2014-05-20,"Austin, Texas, United States",within a few hours,0.97,0.65,1.0,Downtown,26.0,"['email', 'phone', 'reviews']",0.0,1.0
3281553,7335335,Lorna,2013-07-07,"Austin, Texas, United States",within a few hours,1.0,0.88,0.0,Allendale,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']",0.0,0.0
1643831,8724842,Jennifer,2013-09-09,"Texas, United States",within a few hours,1.0,,1.0,Brentwood,1.0,"['email', 'phone']",0.0,1.0
8612362,2488342,Dana,2012-05-29,"Austin, Texas, United States",within an hour,1.0,0.86,1.0,Allendale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0.0,0.0
5040775,5409929,Mark,2013-03-11,"Austin, Texas, United States",within an hour,1.0,0.89,1.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
5237709,8925891,Apryl,2013-09-18,"Austin, Texas, United States",within a few hours,1.0,0.5,1.0,Brentwood,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",0.0,0.0
5205299,23185858,Liz,2014-10-31,"Austin, Texas, United States",within a few hours,0.9,0.91,1.0,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0.0,0.0
2036294,10381875,Patricia,2013-12-02,"Austin, Texas, United States",within a few hours,1.0,1.0,1.0,Brentwood,1.0,"['email', 'phone', 'reviews', 'jumio']",0.0,0.0
5673558,29237885,Scott,2015-03-12,US,within a day,0.9,0.93,0.0,Allendale,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",0.0,0.0
4208511,21536850,Judi,2014-09-19,"Austin, Texas, United States",within a few hours,1.0,1.0,1.0,Rosedale,2.0,"['email', 'phone', 'reviews']",0.0,1.0
3798024,2194671,Louie,2012-04-22,"Austin, Texas, United States",within a few hours,1.0,0.5,1.0,Rosedale,2.0,"['email', 'phone', 'reviews', 'jumio']",0.0,0.0
5340370,27674647,Tera,2015-02-13,"Austin, Texas, United States",,,,1.0,Brentwood,1.0,"['email', 'phone']",0.0,1.0
8731536,45815628,Victoria,2015-10-05,"Austin, Texas, United States",,,,1.0,Allendale,1.0,"['phone', 'facebook']",0.0,1.0
8888471,12399486,Julie,2014-02-19,"Austin, Texas, United States",within a few hours,0.8,1.0,1.0,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",0.0,0.0
4235416,4779911,Jeanne Claire,2013-01-20,"Austin, Texas, United States",within an hour,0.9,1.0,1.0,Brentwood,1.0,"['email', 'phone', 'reviews', 'jumio', 'kba']",0.0,0.0
5415298,28073297,Ryan,2015-02-20,"Austin, Texas, United States",,,,1.0,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
867806,245617,Peter,2010-09-26,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,Allendale,2.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",0.0,0.0
5660770,16750616,Rosalind,2014-06-13,"Austin, Texas, United States",,,,1.0,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",0.0,0.0
767425,1660838,Tatiana,2012-01-27,"Austin, Texas, United States",within a day,0.89,1.0,1.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",0.0,1.0
5458052,28195166,Whitney,2015-02-22,"Austin, Texas, United States",,,,1.0,Allendale,1.0,"['email', 'phone']",0.0,1.0
5457288,28304366,Annemarie,2015-02-24,"Austin, Texas, United States",within an hour,1.0,1.0,0.0,Brentwood,1.0,"['email', 'phone', 'reviews']",0.0,1.0
