id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2583106,Quiet Hill Country Get-Away,13226397,Pam And Mark,78737,30.215204124203048,-97.98251645027098,Entire home/apt,115,2,19,2015-10-25,1.1,1,179
8812681,Victorian Elegance & Natural Beauty,31148752,Bo,78737,30.218520173401163,-97.97831969430649,Entire home/apt,909,2,0,,,2,337
8192070,Hill Country Retreat,33563603,Chris,78737,30.208201245712477,-97.94993985527908,Entire home/apt,135,2,2,2015-10-18,1.0,1,364
7733669,"""Casita Bohemia""- Studio on 3 acres",22677726,,78737,30.17742921622167,-97.93749253013556,Entire home/apt,75,1,4,2015-10-20,3.33,1,338
3840726,Guest House on Bear Creek,19789267,Barbara & Alston,78737,30.157930861333572,-97.9431148203281,Entire home/apt,145,2,38,2015-10-06,2.92,1,355
642674,Thistle Hill Studio DrippingSprings,2033896,Leslie,78737,30.220890629233352,-98.00732409640032,Entire home/apt,125,2,20,2015-11-01,0.83,1,344
1019294,Entire home/apt in Austin,5552270,Jean,78737,30.21791814884141,-97.89875793023552,Entire home/apt,350,3,1,2014-03-18,0.05,1,365
8553138,Country Living Near the City,44335002,,78737,30.19983435655343,-97.92434307527014,Entire home/apt,130,2,0,,,1,364
234194,Beautiful View on Peaceful 5 acres,1207603,,78737,30.173896218125982,-97.97055091900071,Private room,59,1,13,2015-10-25,0.7,1,362
592924,Austin Wineries-Salt Lick-Privacy+ ,2920913,,78737,30.13051635875436,-97.96957510548006,Private room,89,1,12,2015-10-11,0.33,1,364
7024547,Morningsun Manor,36821379,Morningsun Manor,78737,30.203430365829878,-97.94171827051159,Entire home/apt,600,2,0,,,1,244
1782483,Enjoy your stay over the ACL weeken,9356086,Ashish,78737,30.2318588202745,-97.90607127381644,Private room,150,1,0,,,2,365
5372341,Maison d'Etre 2,26004097,Susan,78737,30.23336316346804,-97.91774997590952,Private room,65,1,26,2015-10-20,3.17,1,331
5105066,Deer Run Bed and Breakfast,26378062,Beverly,78737,30.212960336540004,-97.98654394876414,Entire home/apt,175,1,3,2015-10-11,0.46,1,343
3129625,Super Cute Cottage !,13304058,Jeanette,78737,30.168178822078705,-97.97267379652355,Entire home/apt,150,1,47,2015-11-01,3.09,1,352
1782433,Furnished bedroom in a 3381 sq ft h,9356086,Ashish,78737,30.230366975012593,-97.90552271460686,Private room,450,1,0,,,2,365
4957175,Guest Ranch,25552242,John,78737,30.163749053214033,-97.9203140535497,Entire home/apt,6500,4,0,,,1,365
5570703,Great house close to downtown!,3425666,Nate,78756,30.32468935529076,-97.73566248657428,Entire home/apt,249,1,0,,,1,365
4404358,Cozy centrally located couch,22863088,Natasha,78756,30.32544870720644,-97.73716664221932,Shared room,75,1,2,2015-03-19,0.17,1,88
8697893,Prestigious Location Room in Mirage,9193308,Melissa,78756,30.31876940792985,-97.74560503822308,Private room,120,1,0,,,1,9
3353855,Music Paradise (Private Room),337459,Earphoria,78756,30.32489938082674,-97.73986002730105,Private room,75,1,1,2015-08-03,0.31,1,365
8210932,Adorable Apt in Great Neighborhood,11000410,Matt,78756,30.322384524006864,-97.7429109244687,Entire home/apt,300,2,0,,,1,299
3832994,Pool and Fun,19733968,Steve,78756,30.319392812777192,-97.74923707320411,Private room,79,1,1,2015-09-04,0.46,1,365
4288403,Private Guest House,21153184,Aaron And Leigh,78756,30.312651233210588,-97.7467254377866,Entire home/apt,109,1,56,2015-11-07,4.29,1,262
1248702,Above Garage Apt in Central Austin!,5446383,Chris,78756,30.313447508497443,-97.73902906140907,Private room,88,2,90,2015-10-25,3.3,1,332
6260941,Cozy Cottage in Central Austin!,22234571,Cathleen,78756,30.31288494462248,-97.7404257168136,Entire home/apt,115,2,11,2015-10-30,2.24,2,316
